------------------------------------------------------------------------------------
Date: 6/17/2023 -- 17:18:04 (uptime: 0d, 00h 00m 51s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 939
decoder.bytes                                 | Total                     | 1252107
decoder.ipv4                                  | Total                     | 59
decoder.ipv6                                  | Total                     | 867
decoder.ethernet                              | Total                     | 939
decoder.tcp                                   | Total                     | 863
decoder.udp                                   | Total                     | 40
decoder.icmpv6                                | Total                     | 14
decoder.avg_pkt_size                          | Total                     | 1333
decoder.max_pkt_size                          | Total                     | 28006
flow.tcp                                      | Total                     | 30
flow.udp                                      | Total                     | 4
flow.icmpv6                                   | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
decoder.event.ipv4.opt_pad_required           | Total                     | 9
decoder.event.ipv6.zero_len_padn              | Total                     | 4
tcp.invalid_checksum                          | Total                     | 640
tcp.rst                                       | Total                     | 3
detect.alert                                  | Total                     | 660
app_layer.flow.dns_udp                        | Total                     | 3
app_layer.tx.dns_udp                          | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 1
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9800
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 8
flow.mgr.flows_notimeout                      | Total                     | 8
tcp.memuse                                    | Total                     | 2293760
tcp.reassembly_memuse                         | Total                     | 393216
flow.memuse                                   | Total                     | 7474304
